City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
493,Papetoai,PF,85.59,few clouds,-17.4961,-149.8729,Fare Vaihere
494,Samarai,PG,83.55,broken clouds,-10.6167,150.6667,Nuli Sapi
496,Japura,ID,74.34,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
497,Isangel,VU,73.51,light rain,-19.55,169.2667,Tanna Lodge
501,Guanare,VE,77.02,overcast clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
502,Karaton,ID,77.95,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
503,Emerald,AU,73.54,light rain,-23.5333,148.1667,The Irish Village
508,Meulaboh,ID,74.84,overcast clouds,4.1363,96.1285,Kost Pria
509,Maldonado,UY,87.19,clear sky,-34.6667,-54.9167,La Cimarrona
510,Nanakuli,US,83.1,clear sky,21.3906,-158.1547,Camp Pālehua
512,Valle De Allende,MX,72.14,clear sky,26.9333,-105.4,Hotel Meson de San Bartolome
514,Karwar,IN,77.2,broken clouds,14.8,74.1333,Netalco Connects
516,Kisangani,CD,73.92,scattered clouds,0.5167,25.2,Grand Ramela Hotel
517,Pochutla,MX,87.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
520,Teknaf,BD,70.63,clear sky,20.8624,92.3058,Forestry Guesthouse
522,Luanda,AO,78.8,scattered clouds,-8.8368,13.2343,Hotel Fórum
524,Hambantota,LK,77.92,overcast clouds,6.1241,81.1185,Bungalow 63
525,Takoradi,GH,80.78,scattered clouds,4.8845,-1.7554,Raybow International Hotel
527,Kolokani,ML,79.11,clear sky,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
534,Monrovia,LR,78.57,scattered clouds,6.3005,-10.7969,Sunset Inn
537,San Patricio,US,83.08,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
539,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
540,Santa Ana,US,79.45,clear sky,33.7456,-117.8678,Santa Ana Travel Inn
541,Jambi,ID,74.7,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
543,Ratnagiri,IN,79.77,overcast clouds,16.9833,73.3,Hotel Landmark
545,Miguel Alves,BR,86.22,overcast clouds,-4.1656,-42.8953,PAIN POUSADA E RESTAURANTE
548,Paita,PE,79.36,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
556,San Luis,AR,85.44,light rain,-33.295,-66.3356,Huarpes Hotel
559,Magburaka,SL,74.61,clear sky,8.7167,-11.95,PROF LAKOH
562,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
565,Makokou,GA,71.71,overcast clouds,0.5738,12.8642,Motel des voyageurs
567,Namanga,KE,71.67,broken clouds,-2.5433,36.7905,Hillsgate Home
568,Acajutla,SV,86.36,broken clouds,13.5928,-89.8275,asi es
570,Miandrivazo,MG,78.93,light rain,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
573,Catalina,US,71.46,overcast clouds,32.5056,-110.9211,Miraval Arizona Resort & Spa
575,Umm Lajj,SA,76.64,few clouds,25.0213,37.2685,Moon light Furnished Units
577,Puerto Baquerizo Moreno,EC,76.19,few clouds,-0.9,-89.6,Hotel los Algarrobos
583,Rio Grande,BR,78.91,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
585,Namatanai,PG,81.59,light rain,-3.6667,152.4333,Seagulls Inn Namatani
588,Angoche,MZ,79.66,overcast clouds,-16.2325,39.9086,Guest House HESADA
589,Buala,SB,82.76,light rain,-8.145,159.5921,Maringe Lagoon Lodge
590,Kavieng,PG,83.03,few clouds,-2.5744,150.7967,Nusa Island Retreat
593,Nampula,MZ,80.55,scattered clouds,-15.1165,39.2666,BUTIK Hotel
595,Sahuaripa,MX,80.06,few clouds,29.05,-109.2333,Estatua de Sahuaripa
596,Ugoofaaru,MV,78.51,light rain,5.6667,73.0,Ungoofaaru Inn
599,Sao Geraldo Do Araguaia,BR,79.84,overcast clouds,-6.4006,-48.555,Hotel Por do Sol
602,Illapel,CL,73.17,clear sky,-31.6308,-71.1653,Hotel Londres
603,Canchungo,GW,82.47,broken clouds,12.0672,-16.0333,Aparthotel Napalach
608,Shorapur,IN,71.6,scattered clouds,16.5167,76.75,Government SC/ST Hostel Shorapur
611,Cabo San Lucas,MX,84.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
612,Nuevitas,CU,80.04,overcast clouds,21.5453,-77.2644,Hotel Caonaba
614,Aden,YE,80.76,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
615,Cabedelo,BR,83.07,clear sky,-6.9811,-34.8339,Hotel Pigalle
621,Port Hedland,AU,82.45,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
625,Anito,PH,79.47,light rain,12.4497,125.2886,FELIPA LAODENIO PROPERTY
628,Nouakchott,MR,84.13,overcast clouds,18.0858,-15.9785,HOTEL IMAN
629,San Carlos,VE,80.47,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
632,Puebloviejo,CO,84.38,broken clouds,10.9938,-74.2844,The Journey Hostel
634,Alice Town,BS,70.97,overcast clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
635,Ahuimanu,US,82.85,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
