City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
178,Esperance,AU,-33.8667,121.9,55.24,83,22,1.88,few clouds
179,Tura,IN,25.5198,90.2201,58.33,68,0,3.13,clear sky
180,Saint-Augustin,CA,51.226,-58.6502,45.48,96,100,15.59,overcast clouds
181,Berlevag,NO,70.8578,29.0864,26.4,93,75,4.61,light snow
182,Port Keats,AU,-14.25,129.55,81.73,84,100,4.32,overcast clouds
183,Tomatlan,MX,19.9333,-105.25,91.58,29,7,4.45,clear sky
184,Gusinoye Ozero,RU,51.1144,106.2614,11.61,94,71,3.8,broken clouds
185,Khatanga,RU,71.9667,102.5,-11.09,96,38,4.7,scattered clouds
186,Tazovskiy,RU,67.4667,78.7,5.38,94,100,10.0,overcast clouds
187,Jamestown,US,42.097,-79.2353,45.99,54,1,4.0,clear sky
188,Kargopol,RU,61.5071,38.9456,21.33,93,97,8.55,overcast clouds
189,Port Blair,IN,11.6667,92.75,81.14,82,100,13.4,overcast clouds
190,Thompson,CA,55.7435,-97.8558,-0.24,71,1,12.66,clear sky
191,Stettler,CA,52.3168,-112.7186,24.55,100,76,12.66,broken clouds
192,Havoysund,NO,70.9963,24.6622,28.63,88,100,8.34,snow
193,Ulaangom,MN,49.9811,92.0667,13.32,83,98,3.62,overcast clouds
194,Gobabis,NA,-22.45,18.9667,74.68,12,0,11.48,clear sky
195,Forestville,US,38.8451,-76.875,49.66,37,1,4.61,clear sky
196,Shenjiamen,CN,29.9576,122.298,51.35,65,5,5.91,clear sky
197,Pevek,RU,69.7008,170.3133,-19.08,93,100,1.23,overcast clouds
198,Pacific Grove,US,36.6177,-121.9166,68.43,32,1,4.0,clear sky
199,Saint-Philippe,RE,-21.3585,55.7679,76.59,80,9,8.75,clear sky
200,Hami,CN,42.8,93.45,25.97,66,15,3.15,few clouds
201,Skjervoy,NO,70.0311,20.9714,28.04,63,81,8.66,broken clouds
202,Okhotsk,RU,59.3833,143.3,7.41,73,41,13.67,scattered clouds
203,Cayenne,GF,4.9333,-52.3333,83.08,83,75,3.0,broken clouds
204,Beyneu,KZ,45.3167,55.2,34.05,74,100,20.0,overcast clouds
205,Balabac,PH,7.9868,117.0645,80.24,85,100,15.1,overcast clouds
206,Etchoropo,MX,26.7667,-109.6667,81.41,48,36,8.14,scattered clouds
207,Qandala,SO,11.472,49.8728,80.58,65,32,0.43,scattered clouds
208,Vardo,NO,70.3705,31.1107,30.18,64,75,12.66,light shower snow
209,Guerrero Negro,MX,27.9769,-114.0611,69.21,63,85,13.82,overcast clouds
210,Ouallam,NE,14.3188,2.0866,84.92,15,0,8.1,clear sky
211,Camacha,PT,33.0833,-16.3333,62.02,55,75,9.22,broken clouds
212,Marzuq,YE,14.4,46.4667,66.04,15,48,2.82,scattered clouds
213,Truro,GB,50.2653,-5.0544,45.68,87,90,4.61,overcast clouds
214,Maniitsoq,GL,65.4167,-52.9,30.52,69,97,6.38,overcast clouds
215,Itapecerica Da Serra,BR,-23.7169,-46.8492,76.89,98,25,8.61,scattered clouds
216,Orzu,TJ,37.5593,68.8184,45.0,55,0,5.75,clear sky
217,Thurso,GB,58.5927,-3.5259,42.75,76,89,35.43,overcast clouds
218,Kieta,PG,-6.2167,155.6333,82.13,70,21,3.53,few clouds
219,College,US,64.8569,-147.8028,-9.02,72,40,6.91,scattered clouds
220,Armidale,AU,-30.5167,151.65,60.82,92,100,5.17,moderate rain
221,Yeniseysk,RU,58.4497,92.1703,18.23,93,99,7.27,overcast clouds
222,Biskamzha,RU,53.4497,89.5272,22.5,96,100,2.84,snow
223,Aloleng,PH,16.1307,119.7824,78.85,75,74,8.84,broken clouds
224,Marawi,PH,7.9986,124.2928,66.65,92,100,1.79,overcast clouds
225,Mersin,TR,36.862,34.6509,60.15,81,91,3.96,overcast clouds
226,Energetik,RU,51.7445,58.7934,-2.2,97,5,5.39,clear sky
227,Waynesboro,US,38.0685,-78.8895,50.88,32,1,3.44,clear sky
228,Acarau,BR,-2.8856,-40.12,82.06,76,18,16.8,few clouds
229,Tshikapa,CD,-6.4167,20.8,69.82,93,100,0.81,overcast clouds
230,Massakory,TD,12.996,15.7293,81.55,14,0,10.54,clear sky
231,Dodge City,US,37.7528,-100.0171,58.51,29,1,20.0,clear sky
232,Huilong,CN,31.8111,121.655,50.04,66,0,9.24,clear sky
233,Praya,CV,14.9215,-23.5087,79.34,69,0,2.3,clear sky
234,Lavrentiya,RU,65.5833,-171.0,-4.88,91,24,8.01,few clouds
235,Manzhouli,CN,49.6,117.4333,-1.28,76,15,5.3,few clouds
236,Clyde River,CA,70.4692,-68.5914,7.03,85,89,19.57,overcast clouds
237,Sedona,US,34.8697,-111.761,62.65,42,1,1.01,clear sky
238,Coahuayana,MX,18.7333,-103.6833,92.68,54,99,6.44,overcast clouds
239,Kununurra,AU,-15.7667,128.7333,82.38,74,90,6.91,overcast clouds
240,Anadyr,RU,64.75,177.4833,-14.01,75,0,11.01,clear sky
241,Abu Dhabi,AE,24.4667,54.3667,78.96,66,0,10.36,clear sky
242,Vostok,RU,46.4856,135.8833,3.47,99,100,3.13,overcast clouds
243,Airai,TL,-8.9266,125.4092,61.72,92,100,0.36,overcast clouds
244,Tefe,BR,-3.3542,-64.7114,93.31,59,20,5.75,few clouds
245,Kamariotissa,GR,40.4833,25.4667,50.05,69,7,26.75,clear sky
246,Eureka,US,40.8021,-124.1637,62.2,68,92,1.99,overcast clouds
247,Nova Venecia,BR,-18.7106,-40.4006,76.28,80,100,6.33,overcast clouds
248,Iqaluit,CA,63.7506,-68.5145,26.33,68,90,28.01,overcast clouds
249,Kaitangata,NZ,-46.2817,169.8464,60.66,53,100,2.66,overcast clouds
250,Baft,IR,29.234,56.6057,47.73,61,0,4.38,clear sky
251,Mount Pleasant,US,32.7941,-79.8626,59.31,50,1,1.01,clear sky
252,Jumla,NP,29.2747,82.1838,38.82,56,0,4.34,clear sky
253,Grand Gaube,MU,-20.0064,57.6608,76.37,73,18,1.01,few clouds
254,Romitan,UZ,39.9343,64.3814,44.55,65,0,4.61,clear sky
255,Mozarlandia,BR,-14.7447,-50.5706,82.35,74,97,5.44,overcast clouds
256,Ngunguru,NZ,-35.6167,174.5,66.16,71,97,5.75,overcast clouds
257,Loknya,RU,56.83,30.1467,36.32,91,95,7.92,overcast clouds
258,Severnyy,RU,50.677,36.5532,28.44,74,75,11.18,broken clouds
259,Polyarnyy,RU,69.1989,33.4478,1.87,77,95,1.14,light snow
260,Teguise,ES,29.0605,-13.564,62.82,72,20,9.22,few clouds
261,Danilov,RU,58.1908,40.1717,30.94,81,100,16.11,light snow
262,Quatre Cocos,MU,-20.2078,57.7625,76.08,76,18,9.1,few clouds
263,Barra Do Garcas,BR,-15.89,-52.2567,90.18,58,75,5.75,broken clouds
264,Tuatapere,NZ,-46.1333,167.6833,59.65,55,100,6.26,overcast clouds
265,Amazar,RU,53.858,120.875,-0.2,95,75,2.48,broken clouds
266,Chokurdakh,RU,70.6333,147.9167,-18.33,99,98,6.49,overcast clouds
267,Katete,UG,-0.7818,29.7544,59.9,97,20,3.24,light rain
268,South River,US,40.4465,-74.386,48.09,46,1,1.01,clear sky
269,San Lawrenz,MT,36.0553,14.204,58.86,84,6,8.86,clear sky
270,Mutsu,JP,41.2894,141.2169,37.99,54,57,20.76,broken clouds
271,Carnarvon,AU,-24.8667,113.6333,62.67,82,0,6.91,clear sky
272,Usinsk,RU,65.9939,57.5281,4.6,97,100,10.02,overcast clouds
273,Sabancuy,MX,18.9667,-91.1833,79.95,61,10,9.86,clear sky
274,Narsaq,GL,60.9167,-46.05,32.22,99,100,6.64,heavy snow
275,Parfenyevo,RU,58.484,43.4088,24.12,95,100,9.08,light snow
276,Kruisfontein,ZA,-34.0033,24.7314,57.88,86,6,3.22,clear sky
277,San Policarpo,PH,12.1791,125.5072,81.68,84,100,12.95,light rain
278,Baykit,RU,61.67,96.37,8.64,99,98,1.95,overcast clouds
279,Valcourt,CA,45.5001,-72.3158,32.81,49,1,4.32,clear sky
280,Coquimbo,CL,-29.9533,-71.3436,65.93,55,0,17.27,clear sky
281,Nanortalik,GL,60.1432,-45.2371,39.56,96,100,15.39,moderate rain
282,Richards Bay,ZA,-28.783,32.0377,67.05,60,100,11.54,overcast clouds
283,Vanderhoof,CA,54.0166,-124.0198,33.89,70,100,7.27,light snow
284,Raudeberg,NO,61.9875,5.1352,38.19,63,100,11.36,overcast clouds
285,Tutoia,BR,-2.7619,-42.2744,87.78,78,98,11.61,overcast clouds
286,Sola,VU,-13.8833,167.55,81.72,73,99,20.71,overcast clouds
287,Kala Nera,GR,39.3063,23.12,55.29,66,89,11.59,overcast clouds
288,Iwanai,JP,42.9744,140.5089,33.78,78,100,14.29,light snow
289,Numan,NG,9.4667,12.0333,82.0,22,92,1.3,overcast clouds
290,Tanga,TZ,-5.0667,39.1,77.92,92,47,7.52,scattered clouds
291,Luderitz,NA,-26.6481,15.1594,61.29,81,0,14.41,clear sky
292,La Tuque,CA,47.4334,-72.7824,32.25,43,3,3.44,clear sky
293,Rorvik,NO,64.8621,11.2373,41.11,87,40,14.97,scattered clouds
294,Macaparana,BR,-7.5547,-35.4531,87.8,68,7,13.69,clear sky
295,Parkes,AU,-33.1333,148.1833,66.34,94,100,1.99,light rain
296,Ixtapa,MX,20.7,-105.2,84.22,61,20,9.22,few clouds
297,San Andres,CO,12.5847,-81.7006,84.22,74,75,12.66,broken clouds
298,Souillac,MU,-20.5167,57.5167,76.35,88,40,4.61,scattered clouds
299,Geraldton,AU,-28.7667,114.6,57.61,72,0,6.91,clear sky
300,Tromso,NO,69.6496,18.957,24.82,86,40,8.05,scattered clouds
301,Saquena,PE,-4.6667,-73.5167,74.64,98,100,3.09,overcast clouds
302,Mahibadhoo,MV,3.7833,72.9667,81.19,76,100,17.52,overcast clouds
303,Caravelas,BR,-17.7125,-39.2481,75.29,82,98,5.39,overcast clouds
304,Paamiut,GL,61.994,-49.6678,35.31,98,100,19.77,moderate rain
305,Lorengau,PG,-2.0226,147.2712,82.24,76,27,4.09,scattered clouds
306,Faya,SA,18.3851,42.4509,55.92,50,17,3.36,few clouds
307,Faanui,PF,-16.4833,-151.75,80.96,73,7,7.31,clear sky
308,Port Hardy,CA,50.6996,-127.4199,44.6,93,90,21.85,light rain
309,Port Elizabeth,ZA,-33.918,25.5701,62.89,72,20,9.22,light rain
310,Mount Isa,AU,-20.7333,139.5,67.77,77,90,5.75,overcast clouds
311,Constitucion,CL,-35.3333,-72.4167,60.57,73,8,10.22,clear sky
312,La Ronge,CA,55.1001,-105.2842,-1.95,46,40,5.75,scattered clouds
313,Bereda,ES,43.2686,-7.5406,49.01,96,70,1.81,broken clouds
314,Brae,GB,60.3964,-1.353,42.71,70,79,33.38,broken clouds
315,Haines Junction,CA,60.7522,-137.5108,1.35,85,100,0.0,light snow
316,Kattivakkam,IN,13.2167,80.3167,82.08,87,100,11.43,overcast clouds
317,Kahului,US,20.8947,-156.47,83.46,72,20,9.22,few clouds
318,La Paz,BO,-16.5,-68.15,67.98,29,75,6.91,broken clouds
319,Akyab,MM,20.15,92.9,73.74,73,4,6.46,clear sky
320,Tarakan,ID,3.3,117.6333,78.26,85,97,6.31,overcast clouds
321,Roald,NO,62.5833,6.1333,40.15,87,75,8.05,light rain
322,Salalah,OM,17.0151,54.0924,80.69,89,0,5.75,clear sky
323,La Asuncion,VE,11.0333,-63.8628,87.53,62,78,13.8,broken clouds
324,Sakakah,SA,29.9697,40.2064,62.17,42,68,9.48,broken clouds
325,Pirae,PF,-17.5167,-149.5333,86.02,66,20,18.41,few clouds
326,Makakilo City,US,21.3469,-158.0858,80.92,56,1,4.61,clear sky
327,Buenavista,PH,8.9769,125.4089,75.69,92,94,4.9,light rain
328,Bembereke,BJ,10.2283,2.6634,79.63,27,100,2.08,overcast clouds
329,Sale,MA,34.0389,-6.8166,60.75,100,75,4.61,broken clouds
330,Zhigansk,RU,66.7697,123.3711,-22.59,96,100,4.52,overcast clouds
331,Lazurne,UA,46.084,32.5295,38.05,62,4,3.09,clear sky
332,Zhurivka,UA,50.5028,31.7849,37.38,87,32,8.1,scattered clouds
333,Dubti,ET,11.7361,41.0853,84.49,39,30,8.01,scattered clouds
334,Shebunino,RU,46.4339,141.8603,30.09,71,100,10.54,snow
335,Ujiie,JP,36.6833,139.9667,34.05,63,3,0.74,clear sky
336,Paredon,MX,16.0333,-93.8667,86.5,45,36,9.19,scattered clouds
337,Alice Springs,AU,-23.7,133.8833,58.55,88,0,6.91,clear sky
338,Goldsboro,US,35.3849,-77.9928,52.66,29,1,3.44,clear sky
339,Sabha,LY,27.0377,14.4283,72.14,27,57,8.79,broken clouds
340,Opunake,NZ,-39.4556,173.8583,64.35,65,100,3.33,overcast clouds
341,Saldanha,ZA,-33.0117,17.9442,63.09,70,0,16.35,clear sky
342,Upata,VE,8.0086,-62.3989,87.19,68,92,5.23,overcast clouds
343,Krasnoselkup,RU,65.7,82.4667,6.06,95,100,11.07,overcast clouds
344,Longyearbyen,SJ,78.2186,15.6401,-0.56,71,20,6.91,few clouds
345,Houma,US,29.5958,-90.7195,73.0,62,75,13.8,broken clouds
346,Yerbogachen,RU,61.2767,108.0108,11.8,98,100,4.7,overcast clouds
347,Umm Kaddadah,SD,13.6017,26.6876,68.23,15,11,12.21,few clouds
348,Harper,LR,4.375,-7.7169,80.01,83,46,7.16,scattered clouds
349,Port Moresby,PG,-9.4431,147.1797,76.42,94,20,8.05,few clouds
